यथार्थमा योग्य नेता ती हुन्.जो ज्यादै ठूलो अप्ठेरोमा पनि अघि बढ्ने बाटो निकाल्छन् र निष्पट्ट अन्धकारमा पनि उज्याला सम्भावनाका गोरेटा खोज्ने क्षमता राख्छन्। ,0
तर नेपालमा भने त्यस्ता मानिस नेता भइरहेछन्.जो अघि बढ्ने सारा सम्भावना हुँदाहुँदै पनि त्यसलाई निजी स्वार्थगत हठका कारण तगारो तेर्स्याएर थुनिरहेछन्। ,1
नेपालको दुर्भाग्य नै देशलाई अगाडि बढाउन पनि नसक्ने र योग्य नयाँ मान्छेका लागि खुशीखुशी ठाउँ पनि नछाड्ने अयोग्य आफूकेन्द्रित कथित 'ठूला' नेताहरुको भिड हो। ,1
उनीहरु वास्तवमा अधिकार सबै आफैसँग मात्र थुपारिराख्न खोज्ने तर देश र जनताप्रतिको जिम्मेवारी र कर्तव्यको कुनै बोध नभएका पार्टी नोकरशाहहरु मात्र हुन् तर समकालीन नेपाली राजनीतिको सारा लगाम उनीहरुकै हातमा केन्द्रित छ। ,1
नेपाली राजनीतिको नेतृत्वबाट बारम्बार अयोग्य नोकरशाहका रूपमा प्रकट भइरहेका नेतालाई बिदा नगरेसम्म अहिलेको राजनीतिक संकटले निकास पाउने कुनै लक्षण देखिँदैन। ,0
स्रोत.साधन र विकासका सम्भावनाका हिसाबले नेपाल विशाल सम्भावना बोकेको देश हो। ,1
यो गरिब र सम्भावनाशून्य देश होइन। ,1
त्यसैले देशैबाट निराश भएर हामीले कतै पलायन हुनुपर्दैन। ,0
हाम्रो मुख्य समस्या हाम्रो अक्षम राजनीतिक नेतृत्व र त्यस्तो नेतृत्वलाई बिदा गर्न सारै गाह्रो हुने राजनीतिक प्रणाली हो। ,0
हामीले हाम्रा अपार स्रोत.साधन र विकासका सम्भावनालाई कुशलपूर्वक व्यवस्थापन गर्नसक्ने नेतृत्व पाउन र त्यस्तो नेतृत्व छानिएर आउने असल प्रणाली निर्माण गर्न सकेनांै। ,1
हामीले मूलतः योग्य नेतृत्व र असल प्रणालीको यो अभावको समस्या हल गरे पुग्छ.हाम्रो देशले निकै तीव्र गतिमा विकास गर्ने सम्भावना प्रबल छ। ,0
समस्या जहाँ छ.त्यसैको समाधानमा केन्द्रित हुँदा नै समस्याबाट पार पाइने सम्भावना हुन्छ। ,0
हाम्रो राजनीतिको मूल समस्या कहाँ छ भनेर थाहा पाउन अहिलेकै राजनीतिक गतिरोधलाई सुक्ष्मपूर्वक नियाले पुग्छ। ,0
गएको संविधान सभाले संघीयताका प्रदेशको संख्या.नाम.र सीमांकन जस्ता तीनवटा विषय.चुनाव प्रणाली र शासकीय स्वरूपको एउटा विषयमा मात्र सहमति जुटाउन बाँकी थियो। ,1
अरु सबै कुरामा सहमति जुटिसकेको थियो। ,1
देशको दीर्घकालीन हितलाई केन्द्र बनाएर वार्ताको टेबुलमा बस्ने हो भने यति कुरामा सहमति जुटाउन कुनै गाह्रो र असम्भव कुरो थिएन। ,0
अहिले पनि छैन। ,0
कुनै पनि हालतमा सहमति नजुटे पूर्ण बैठकमा मतदान गरेर दुई तिहाई बहुमतबाट पनि यो समस्या समाधान गर्ने विधिसम्मत उपाय थियो। ,0
तर हाम्रा खास खास ठूला दलका ठूला नेताहरुले यति कुरामा न त बेलैमा सहमति गरे.न मतदान गर्न नै सहमत भए.न यो कुराको छिनोफानो गर्न नयाँ पुस्ताले भरिभराउ संविधान सभाको पूर्ण बैठकमा जान नै जरुरी सम्झे। ,1
समयसीमाभित्र आफूले पनि सहमति गर्न नसक्ने.विधिसम्मत मतदान गरेर समस्या समाधान गर्नका लागि पनि तयार नहुने अनि समस्या समाधान गर्ने क्षमता र अधिकार भएका मानिस भएको संविधान सभाको पूर्ण बैठकमा पनि जान नखोज्ने ठूला दलका ठूला नेताको यो प्रवृत्तिको सार के हो? ,0
यही नै त समस्या हल गर्न आफू पनि अयोग्य तर योग्यहरुलाई जिम्मेवारी सुम्पन नचाहने प्रवृत्ति र चरित्र हो। ,0
यही प्रवृत्ति र चरित्रका कारण नै संविधान सभाको दुखद् अवसान भएको हो। ,0
नत्र यति कुरामा सहमति जुटाउन ताजा निर्वाचनमा जानु आवश्यक थिएन। ,0
अहिले पनि विवादका यी विषयमा सहमति जुटाउन दलहरुको राजनीतिक निर्णयबाट संविधान सभाको पुनर्स्थापना गर्ने बाटो सबैभन्दा सरल.सस्तो र कम जोखिम भएको राजनीतिक बाटो थियो र अहिले पनि छ। ,0
हामीले संविधान सभाको पुनः चुनाव गर्ने हो भने कम्तीमा १० अर्ब रुपियाँ थप खर्च लाग्छ। ,0
चुनाव उतामात्र कम्तीमा थप एक वर्षको समय लाग्छ र अहिलेबाट डेढ वर्षको राष्ट्रको समय यसमा जान्छ। ,0
त्यसमा पनि चुनिएर आउने दल पनि यिनै हुन्.नेता पनि यिनै हुन्। ,0
पहिलेका कुरा उल्ट्याउन थाले भने अरु थप समय लाग्ने हुन्छ। ,0
फलस्वरुप संक्रमणकाल अझै लम्बिएर जनताको दुःखकष्ट अरु बढ्छ। ,1
तर पुनर्स्थापना गर्दा वर्षभर लाग्ने संविधान सभा सञ्चालन खर्च करिब ५० करोड रुपियाँमात्र हो। ,1
१० अर्ब पैसाले त १० वर्ष संविधान सभा सञ्चालन गर्ने खर्च पुग्छ। ,1
पुनर्स्थापना गर्दा पहिलेकै मानिस आउने हुँदा असहमतिका बुँदा समाधान गर्न समय पनि छ महिना काफी हुन सक्छ। ,0
संक्रमणकाल लम्बिने जोखिम पनि त्यति धेरै हुँदैन। ,0
त्यसबाट बरालिएको नेपाली राजनीति पुनः ट्रयाकमा आउँछ। ,0
सरकारको नेतृत्व तुरन्त बदल्न चाहनेलाई वैधानिक बाटोबाटै त्यो सजिलै बदल्ने बाटो पनि खुल्छ। ,0
त्यति समयमा सहमति नजुटे संविधान र कानुनमा संशोधन.निर्वाचन आयोग.सर्वोच्च अदालत र अन्य संवैधानिक अंगमा नियुक्तिलगायत् ताजा चुनावका सबै व्यवधान पुनर्स्थापित व्यवस्थापिकाबाट हटाएर फेरि चुनावमा गए पनि त्यो बाटोसमेत सजिलो हुन्छ। ,0
तर यो सस्तो.सरल र कम जोखिम भएको उपायमा जान आमनागरिकलाई कुनै आपत्ति नभए पनि हाम्रा ठूला दलका ठूला नेताले किन उचित ठानेनन्? ,0
धेरै कुरा यो 'किन' भित्र लुकेको छ। ,0
हाम्रा नेताहरुकै असहमतिका कारण देश अहिले अति महँगो र अति जोखिमयुक्त भए पनि ताजा निर्वाचनमा जान बाध्य भएको छ। ,1
शान्ति र संविधान ढिलो भए पनि आउँछ भने यो पनि सहुँ न त भनेर नेपाली जनताले यसलाई चुपचाप सहिदिएका मात्र हुन्। ,1
परन्तु अहिले ठूला भनिएका दलका केही नेताहरुको विवेकहीन हठका कारण संविधान सभा अवसान भएको सात महिना बितिसक्दा समेत ताजा चुनावमा सहमति जुट्न सम्भव भइरहेको छैन। ,1
अरु सबै कुरामा सहमति जुटे पनि केवल दुईवटा हठका कारण सहमतिको हलो अड्किएको छ। ,1
एउटा.पहिलेको संविधान सभाका दशवटा विषयगत समिति र संवैधानिक समितिले सर्वसम्मतिले टुंग्याइसकेका विषय अब नउल्ट्याउने र आगामी संविधान सभामा पनि ती यथावत् जाने गरी तिनको स्वामित्व ग्रहण गर्ने कुरा नेपाली कांग्रेस र एमालेका नेताहरुले कदापि नस्वीकार्ने भनेर हठ गर्नुको कारणले। ,0
अर्को.प्रम बाबुराम भट्टराईले आफ्नो नेतृत्वको सरकारमा केही दिनमात्र भए पनि कांग्रेस र एमाले सामेल हुनुपर्छ अनि मात्र सरकार छोडिन्छ भनेर हठ गर्नुको कारणले। ,0
यी दुवै देश र जनताको हितलाई केन्द्रमा राखेर नसोचिएका र कुनै तार्किक तुक नभएका आत्मकेन्द्रित हठ हुन्। ,1
यिनै हठको शिकार अहिले देशको राजनीति भएको छ। ,1
यी दुवैथरीले यी नाजायज हठ अविलम्व परित्याग गर्नु जरुरी छ.नत्र नेपाली राजनीति यिनै कारणले दुर्घटनाग्रस्त हुने जोखिम बढेको छ। ,1
गएको संविधान सभाका विषयगत समितिले आवश्यक गृहकार्य गरिसकेर सबै दलका प्रतिनिधि बसेर सहमति गरिसकेको कुराको स्वामित्व लिन कांग्रेस र एमालेका नेताहरुलाई कुनै आपत्ति नहुनुपर्ने हो। ,0
किनकि यो सहमतिमा त उनीहरुका दलका आधिकारिक प्रतिनिधिको पनि त सर्वसहमति थियो। ,1
यो स्वीकार्नु उनीहरुको नैतिक बाध्यता थियो। ,1
तथापि किन उनीहरु यसलाई पनि स्वीकार्न मानिरहेका छैनन्? ,0
यो यस कारण हुनसक्छ कि यसमा कैयन् त्यस्ता अग्रगामी वा परिवर्तनकारी कुरा परेका छन्.जुन पचाउन/स्वीकार्न उनीहरुलाई हम्मेहम्मे भएको छ। ,1
परिवर्तनप्रति यति धेरै भय पालेर नेपालको अहिलेको स्थितिमा व्यापक जनसमर्थन पाउन त असम्भव नै हुनेछ। ,0
तर कांग्रेस र एमालेका शीर्ष नेताहरु केमा स्पष्ट हुन जरुरी छ भने यदि विगतमा भइसकेका सहमतिको स्वामित्व लिन अस्वीकार गर्ने हो भने संविधान सभाको ताजा निर्वाचन नै भइहालेछ भने पनि त्यसले विगतमा भएका सहमति उल्ट्याउने क्रम थाल्नेछ र त्यो उल्टिने/उल्ट्याउने प्रक्रिया थाल्ने हो भने एक वर्षमा त के.अर्को थप चार वर्षमा पनि नयाँ संविधान जारी गर्न सक्ने छैन। ,0
महिला.दलित.जनजाति.मधेसी.मुस्लिम.अति अल्पसंख्यक र गरिखाने तथा गरिब वर्गले हासिल गर्न लागेका सारा उपलब्धि खेर जानेछन्। ,0
बहिष्कृत समुदायको हात फेरि पनि रित्तो हुनेछ। ,0
नेपालको संविधान सभा र शान्ति प्रक्रिया असफल हुनेछ र यी सबैको एकलौटी जिम्मेवारी र दोष उनीहरुको थाप्लामा आउनेछ। ,0
यसो गर्दा देश र जनताको कित्तामा त नोक्सानी धेरै नै हुनेछन् तर फाइदाचाहिँ के पुग्ने हो नेपाली कांग्रेस र एमालेलाई पार्टीगतरूपमा? ,0
यही कुरा प्रम बाबुराम भट्टराईमा पनि उत्तिकै लागु हुन्छ। ,1
उनी किन त्यस्तो बेतुकको हठ गरिरहेका छन्.जसले सम्भावित सहमति र चुनावलाई हुनै नसक्नेगरी पछि धकेलिरहेको छ? ,0
र.यसबाट देशको नोक्सानी त हुँदै नै छ नै.उनकै व्यक्तिगत छविमा समेत चर्को नोक्सानी हुँदैछ? ,0
एउटा योग्य नेताको उज्यालो भविष्य भनेको केही दिन अरु सत्तामा टिक्नका खातिर गर्नुहुने/नहुने सबै काम गरेर फगत सेना र विदेशीका आडका बलमा कुर्सीको आयु लम्ब्याउनुमा हुँदैन.कुर्सीको त्याग गरेर भए पनि लोकप्रिय जनमत र जनसमर्थनको रूपमा आफ्नो राजनीतिक पुँजी जोगाइराख्नुमा मात्र हुन्छ। ,0
त्यो जोगिए योग्य व्यक्तिका लागि प्रधानमन्त्री वा राष्ट्रपति हुने अवसर कति आउँछ कति।त्यो नजोगिए कुर्सीमा दश वर्ष अरु रहे पनि त्यसको कुनै मूल्य हुँदैन। ,0
चारवटा कुरा सुनिश्चित गरेर बाबुराम भट्टराइले अविलम्व सरकार छोडिदिनुमै देशको पनि कल्याण छर उनी स्वयम्को पनि। ,1
पहिलो- आउँदो वैशाखमै चुनाव हुने सुनिश्चितता। ,0
दोस्रो- पहिलेको संविधान सभाले सहमति गरिसकेका सबै कुराको स्वामित्व लिएर ती नयाँ संविधानमा परिछाड्ने सुनिश्चिततासहित चुनाव सम्भव बनाउन जरुरी सबै विषयमा प्याकेजमा सहमति। ,0
तेस्रो- चुनावी सरकारमा सत्ताशक्तिको न्यायोचित र सन्तुलित बाँडफाँटबाट स्वच्छ/निष्पक्ष निर्वाचनको सुनिश्चितता। ,0
चौथो- कम्तीमा पहिलेजत्तिकै अनुपातमा बहिष्कृत समुदाय समावेशी हुनसक्ने संविधान सभाको मिश्रित निर्वाचन प्रणालीको सुनिश्चिता। ,0
